reviewer,vote,hotel,city,nation
nico2055,10.0,AQVA Boutique Hotel,Via XXV Aprile n.4,Italia
 Franco B,8.0,AQVA Boutique Hotel,Via XXV Aprile n.4,Italia
 fulviobonacini,10.0,AQVA Boutique Hotel,Via XXV Aprile n.4,Italia
 PiMi,10.0,AQVA Boutique Hotel,Via XXV Aprile n.4,Italia
 viaggiatore_curioso7,8.0,AQVA Boutique Hotel,Via XXV Aprile n.4,Italia
Simone B,10.0,Hotel Mirabello,Via Venticinque Aprile 100,Italia
 Moma5966,10.0,Hotel Mirabello,Via Venticinque Aprile 100,Italia
 Giò O,10.0,Hotel Mirabello,Via Venticinque Aprile 100,Italia
 Stefania G,6.0,Hotel Mirabello,Via Venticinque Aprile 100,Italia
 Micheal J,10.0,Hotel Mirabello,Via Venticinque Aprile 100,Italia
Travel645135,10.0,Eucalyptus Park, Noto,Italia
 Simone M,10.0,Eucalyptus Park, Noto,Italia
 Luca C,8.0,Eucalyptus Park, Noto,Italia
 tino4you75,8.0,Eucalyptus Park, Noto,Italia
Nonna Isabella,10.0,Il Sogno di Lucia B&B,Parma,Italia
 enrico r,8.0,Il Sogno di Lucia B&B,Parma,Italia
 tesdav97,10.0,Il Sogno di Lucia B&B,Parma,Italia
 Tatinaa,10.0,Il Sogno di Lucia B&B,Parma,Italia
 Gepbo,10.0,Il Sogno di Lucia B&B,Parma,Italia
2015-Aldo,10.0,Agriturismo Paterno,Gimignano,Italia
 Göran B,6.0,Agriturismo Paterno,Gimignano,Italia
 David P,10.0,Agriturismo Paterno,Gimignano,Italia
 Rob RYAN Cannes,10.0,Agriturismo Paterno,Gimignano,Italia
lim2,10.0,Hotel Elisabetta,Via Venezia 22,Italia
 Pissera201,10.0,Hotel Elisabetta,Via Venezia 22,Italia
 stefanof564,10.0,Hotel Elisabetta,Via Venezia 22,Italia
 Eva P,10.0,Hotel Elisabetta,Via Venezia 22,Italia
 Caterina91,10.0,Hotel Elisabetta,Via Venezia 22,Italia
Alessandra P,2.0,Via Toscana House,Parma,Italia
 Consiglia M,4.0,Via Toscana House,Parma,Italia
ireff,10.0,Villaggio Ai Pini, 30021 Duna Verde,Italia
 jns491,10.0,Villaggio Ai Pini, 30021 Duna Verde,Italia
Guide753453,8.0,Hotel Hollywood,Senigallia,Italia
 silviacF708GE,10.0,Hotel Hollywood,Senigallia,Italia
 PietroGioia,8.0,Hotel Hollywood,Senigallia,Italia
 Giulietta_Go,10.0,Hotel Hollywood,Senigallia,Italia
 Eleonora B,10.0,Hotel Hollywood,Senigallia,Italia
Carmine G,10.0,B&B Milk,Monopoli,Italia
 Francesco P,10.0,B&B Milk,Monopoli,Italia
 AndreMi87,10.0,B&B Milk,Monopoli,Italia
 Adele B,10.0,B&B Milk,Monopoli,Italia
 giangigiangi01,10.0,B&B Milk,Monopoli,Italia
Francesco T,6.0,Hotel La Paül,Via Venticinque Aprile 32,Italia
 Domenico Di Rosa,8.0,Hotel La Paül,Via Venticinque Aprile 32,Italia
 Elisa,10.0,Hotel La Paül,Via Venticinque Aprile 32,Italia
 oceano2014,8.0,Hotel La Paül,Via Venticinque Aprile 32,Italia
 cavmilly,6.0,Hotel La Paül,Via Venticinque Aprile 32,Italia
Pierangelo,10.0,Hotel Romagna,Via Genova 19,Italia
 rocca_massi,10.0,Hotel Romagna,Via Genova 19,Italia
 Martina,10.0,Hotel Romagna,Via Genova 19,Italia
 Federica,10.0,Hotel Romagna,Via Genova 19,Italia
 Gino P,6.0,Hotel Romagna,Via Genova 19,Italia
maryE7636YM,10.0,Hotel Karinzia,Caorle,Italia
 Federica P,4.0,Hotel Karinzia,Caorle,Italia
 monidepa🤩,10.0,Hotel Karinzia,Caorle,Italia
 MarcoRumi,10.0,Hotel Karinzia,Caorle,Italia
 charlie582002,10.0,Hotel Karinzia,Caorle,Italia
fusto1965,10.0,B&B La Cornice,Gimignano,Italia
 Stella S,10.0,B&B La Cornice,Gimignano,Italia
 Fabrizio M,10.0,B&B La Cornice,Gimignano,Italia
 Leonardo59R,10.0,B&B La Cornice,Gimignano,Italia
 chia-globetrotter,10.0,B&B La Cornice,Gimignano,Italia
Roberto L,10.0,Hotel Buenos Aires,Terme,Italia
 nicholasruffier,2.0,Hotel Buenos Aires,Terme,Italia
 Vibe,8.0,Hotel Buenos Aires,Terme,Italia
 asiaxjii,2.0,Hotel Buenos Aires,Terme,Italia
 Mtt,4.0,Hotel Buenos Aires,Terme,Italia
ventinarom,4.0,Hotel Capriccioli, Arzachena,Italia
 Safira,2.0,Hotel Capriccioli, Arzachena,Italia
 Mauro F,10.0,Hotel Capriccioli, Arzachena,Italia
 alberto,6.0,Hotel Capriccioli, Arzachena,Italia
 Jigen69,8.0,Hotel Capriccioli, Arzachena,Italia
ZannaImola,8.0,Acquamarina B&B, 80061 Roncato,Italia
Astrea59,10.0,Holiday Village,Località Sfinale,Italia
 Cinzia G,10.0,Holiday Village,Località Sfinale,Italia
 Patrizia D,8.0,Holiday Village,Località Sfinale,Italia
 Open mind movement,6.0,Holiday Village,Località Sfinale,Italia
 Valeria G,8.0,Holiday Village,Località Sfinale,Italia
Stefan67,10.0,Apartments-Neuhaus,Gardena,Italia
 Deborah Martha P,10.0,Apartments-Neuhaus,Gardena,Italia
 RENZA L,10.0,Apartments-Neuhaus,Gardena,Italia
 tiggerfrankUk,10.0,Apartments-Neuhaus,Gardena,Italia
damu,10.0,B&B 20 Archi,Monopoli,Italia
 StefanoGatti,8.0,B&B 20 Archi,Monopoli,Italia
 Peppe P,10.0,B&B 20 Archi,Monopoli,Italia
 Dario D,10.0,B&B 20 Archi,Monopoli,Italia
 Lucia B,10.0,B&B 20 Archi,Monopoli,Italia
Francesco T,10.0,B&B Trani Palace,Via Carrettieri 15,Italia
 Patrizia P,10.0,B&B Trani Palace,Via Carrettieri 15,Italia
 Fabrizio Aikido... C,10.0,B&B Trani Palace,Via Carrettieri 15,Italia
 Mimilou C,10.0,B&B Trani Palace,Via Carrettieri 15,Italia
 Pierom64,10.0,B&B Trani Palace,Via Carrettieri 15,Italia
Gianluca F,10.0,Masseria Mammella,Monopoli,Italia
 Paolo F,10.0,Masseria Mammella,Monopoli,Italia
e_salvatori,10.0,Dietro le Stelle,Massa,Italia
 Franco B,10.0,Dietro le Stelle,Massa,Italia
bertoooooooooo87,6.0,Lampedusa Camere,Sicilia,Italia
 Valentina,10.0,Lampedusa Camere,Sicilia,Italia
82sim0ne,2.0,Chalet Flower,Livigno,Italia
 spugna2014,2.0,Chalet Flower,Livigno,Italia
 sk82,10.0,Chalet Flower,Livigno,Italia
 allilaw1,10.0,Chalet Flower,Livigno,Italia
 Simonetta,8.0,Chalet Flower,Livigno,Italia
Marco R,8.0,Avenue Hotel,Como,Italia
 michi o,10.0,Avenue Hotel,Como,Italia
 JohnnyBrescia,10.0,Avenue Hotel,Como,Italia
 Vito G,6.0,Avenue Hotel,Como,Italia
 valuma46,6.0,Avenue Hotel,Como,Italia
Gra,2.0,Hotel- Ristorante Bagnaia, 01100 Bagnaia,Italia
 bobonumberone,8.0,Hotel- Ristorante Bagnaia, 01100 Bagnaia,Italia
 Arathorn79,2.0,Hotel- Ristorante Bagnaia, 01100 Bagnaia,Italia
 Giuseppe P,2.0,Hotel- Ristorante Bagnaia, 01100 Bagnaia,Italia
 Gabriella E,10.0,Hotel- Ristorante Bagnaia, 01100 Bagnaia,Italia
Inviaggio_13,8.0,B&B Notos,Otranto,Italia
 gar0th,10.0,B&B Notos,Otranto,Italia
 Maria G,10.0,B&B Notos,Otranto,Italia
 Antonio M,10.0,B&B Notos,Otranto,Italia
 Arianna A,10.0,B&B Notos,Otranto,Italia
Vik1970,10.0,Hotel Ristorante alla Grotta,Lazise,Italia
 Annina G,10.0,Hotel Ristorante alla Grotta,Lazise,Italia
 Fabio C,8.0,Hotel Ristorante alla Grotta,Lazise,Italia
 Aco7,2.0,Hotel Ristorante alla Grotta,Lazise,Italia
 Terminiacus,10.0,Hotel Ristorante alla Grotta,Lazise,Italia
Travel B,10.0,Villa Paestum, 84047 Paestum,Italia
88Rossi88,10.0,Finalborgo Guest House,Ligure,Italia
 Lorelay2014,10.0,Finalborgo Guest House,Ligure,Italia
Angelo_laura,10.0,Residence Goethe,Malcesine,Italia
 Laura G,10.0,Residence Goethe,Malcesine,Italia
 Melissa,10.0,Residence Goethe,Malcesine,Italia
 Sarah H,10.0,Residence Goethe,Malcesine,Italia
 Marzena C,6.0,Residence Goethe,Malcesine,Italia
Mauro Ricciardi,8.0,Albergo Del Duca,Como,Italia
 bruno_Toro_forever,8.0,Albergo Del Duca,Como,Italia
 ETN_1970,8.0,Albergo Del Duca,Como,Italia
 DarioIda,10.0,Albergo Del Duca,Como,Italia
 Mauro Ricciardi,8.0,Albergo Del Duca,Como,Italia
Sandy_nctr,6.0,Casa Adriana, Cefalù,Italia
Francesca L,10.0,Hotel Caesar Palace, 98035 Giardini Naxos,Italia
 luis1967,8.0,Hotel Caesar Palace, 98035 Giardini Naxos,Italia
 parisewalter,8.0,Hotel Caesar Palace, 98035 Giardini Naxos,Italia
 violese2019,8.0,Hotel Caesar Palace, 98035 Giardini Naxos,Italia
 luigiscr,8.0,Hotel Caesar Palace, 98035 Giardini Naxos,Italia
GEMELLI 77,8.0,Il Belvedere,Vieste,Italia
 Maurizio b,8.0,Il Belvedere,Vieste,Italia
 Giulia,4.0,Il Belvedere,Vieste,Italia
 SaraDeSantis,8.0,Il Belvedere,Vieste,Italia
 Annalisa C,2.0,Il Belvedere,Vieste,Italia
Koostrip,10.0,B&B Pompei,Via Diomede 3,Italia
Caterina S,6.0,Hotel Residenza Lido,Cesenatico,Italia
 miar2000,2.0,Hotel Residenza Lido,Cesenatico,Italia
 Alessandro M,10.0,Hotel Residenza Lido,Cesenatico,Italia
 Silvia G,10.0,Hotel Residenza Lido,Cesenatico,Italia
 Andrea_BG75,8.0,Hotel Residenza Lido,Cesenatico,Italia
sarah04_travel,8.0,Villa Helvetia,Merano,Italia
 Stefano C,8.0,Villa Helvetia,Merano,Italia
 tennence,10.0,Villa Helvetia,Merano,Italia
 ventodipuglia,10.0,Villa Helvetia,Merano,Italia
 riccipic2017,10.0,Villa Helvetia,Merano,Italia
ZiaAletta,2.0,Antica Casa Il Bacolino,Senigallia,Italia
 Pamplo,8.0,Antica Casa Il Bacolino,Senigallia,Italia
nunziata P,8.0,Hotel Terme Zi Carmela, 80075 Forio,Italia
 Claudia Masal Elvi,8.0,Hotel Terme Zi Carmela, 80075 Forio,Italia
 mauro altomare,10.0,Hotel Terme Zi Carmela, 80075 Forio,Italia
 Elisa61 G,10.0,Hotel Terme Zi Carmela, 80075 Forio,Italia
 Massimo P,8.0,Hotel Terme Zi Carmela, 80075 Forio,Italia
Berna B,10.0,La Pennica,Senigallia,Italia
 Massimo A,10.0,La Pennica,Senigallia,Italia
bbtrip00,10.0,Hotel Ponte,Vieste,Italia
 blast_98,8.0,Hotel Ponte,Vieste,Italia
 ornella0165,10.0,Hotel Ponte,Vieste,Italia
 walter n,10.0,Hotel Ponte,Vieste,Italia
 Nicola T,10.0,Hotel Ponte,Vieste,Italia
Scenic777143,10.0,Hotel Mamela, Capri,Italia
 Sabmila,8.0,Hotel Mamela, Capri,Italia
 Marchegino1,8.0,Hotel Mamela, Capri,Italia
 Roberto L,6.0,Hotel Mamela, Capri,Italia
 Vincenzo M,10.0,Hotel Mamela, Capri,Italia
marcosabina2017,10.0,Hotel Fanes,Gardena,Italia
 Gastrophilus,10.0,Hotel Fanes,Gardena,Italia
 ClaudiaTatina88,8.0,Hotel Fanes,Gardena,Italia
 ROBERTA C,10.0,Hotel Fanes,Gardena,Italia
 Bennybu,10.0,Hotel Fanes,Gardena,Italia
graziagugliormella,10.0,Ronco Dell'Abate,Como,Italia
 Cinzia M,10.0,Ronco Dell'Abate,Como,Italia
 girlgoinglobal,10.0,Ronco Dell'Abate,Como,Italia
 Fi_07,10.0,Ronco Dell'Abate,Como,Italia
 687katrik,10.0,Ronco Dell'Abate,Como,Italia
Guillermo W,10.0,Villa Tina, 84048 Santa Maria di Castellabate,Italia
 Rick T,10.0,Villa Tina, 84048 Santa Maria di Castellabate,Italia
Raffaele R,10.0,La Fattoria di Maria Donata,Pescara,Italia
 Mizio,10.0,La Fattoria di Maria Donata,Pescara,Italia
 Linda D,10.0,La Fattoria di Maria Donata,Pescara,Italia
 malvy65,10.0,La Fattoria di Maria Donata,Pescara,Italia
 MoiraPin,10.0,La Fattoria di Maria Donata,Pescara,Italia
Alison P,8.0,Hotel Haiti,Cattolica,Italia
 Gabriele G,10.0,Hotel Haiti,Cattolica,Italia
 Sonia B,10.0,Hotel Haiti,Cattolica,Italia
 Diego S,10.0,Hotel Haiti,Cattolica,Italia
 Letizia V,10.0,Hotel Haiti,Cattolica,Italia
Spell-it-out,10.0,Panorama, Noto,Italia
 rasco84,8.0,Panorama, Noto,Italia
patrick_cat,8.0,Hotel Airone, 30028 Bibione,Italia
 Alberto A,6.0,Hotel Airone, 30028 Bibione,Italia
 MAURYNN,8.0,Hotel Airone, 30028 Bibione,Italia
 Elena L,10.0,Hotel Airone, 30028 Bibione,Italia
 999mauriziob,6.0,Hotel Airone, 30028 Bibione,Italia
mariaC163DK,8.0,Kefahelion Residence, Cefalù,Italia
 Dea N,8.0,Kefahelion Residence, Cefalù,Italia
 Jackthebest86,10.0,Kefahelion Residence, Cefalù,Italia
 francesco t,10.0,Kefahelion Residence, Cefalù,Italia
Alessia V,4.0,Stella Maris,Via San Gervasio n. 15,Italia
 oggiquadomanila,8.0,Stella Maris,Via San Gervasio n. 15,Italia
 Valerio D,10.0,Stella Maris,Via San Gervasio n. 15,Italia
 34Ivan69,10.0,Stella Maris,Via San Gervasio n. 15,Italia
 Hazlo,8.0,Stella Maris,Via San Gervasio n. 15,Italia
clio-48,10.0,casa vacanza e camere da Milena,Grosseto,Italia
 Maria C,10.0,casa vacanza e camere da Milena,Grosseto,Italia
 Maria L,2.0,casa vacanza e camere da Milena,Grosseto,Italia
 fabriziosanna65,10.0,casa vacanza e camere da Milena,Grosseto,Italia
 Stefania G,8.0,casa vacanza e camere da Milena,Grosseto,Italia
Littlemarystreet,8.0,Villa Liberty Resort,Sicilia,Italia
 CarmenNatasha,10.0,Villa Liberty Resort,Sicilia,Italia
 Nannij-Rappazzo,10.0,Villa Liberty Resort,Sicilia,Italia
 Ignazio D,10.0,Villa Liberty Resort,Sicilia,Italia
 Ludovica F,8.0,Villa Liberty Resort,Sicilia,Italia
Martina RM,8.0,Hotel Sporting Trento,Trento,Italia
 Barbara M,8.0,Hotel Sporting Trento,Trento,Italia
 silu77777,8.0,Hotel Sporting Trento,Trento,Italia
 FrancyStar76,8.0,Hotel Sporting Trento,Trento,Italia
 grace2010052,6.0,Hotel Sporting Trento,Trento,Italia
jacky1995,10.0,Don Alfonso 1890 Boutique Hotel, 80061 Sant'Agata sui Due Golfi,Italia
 Fabio Costantino Santagata,10.0,Don Alfonso 1890 Boutique Hotel, 80061 Sant'Agata sui Due Golfi,Italia
 Food love,10.0,Don Alfonso 1890 Boutique Hotel, 80061 Sant'Agata sui Due Golfi,Italia
 Fabio F,10.0,Don Alfonso 1890 Boutique Hotel, 80061 Sant'Agata sui Due Golfi,Italia
 coppetta,10.0,Don Alfonso 1890 Boutique Hotel, 80061 Sant'Agata sui Due Golfi,Italia
Elena F,10.0,Masseria Tenuta Scaglione,Ostuni,Italia
 Giacomo.DiF,10.0,Masseria Tenuta Scaglione,Ostuni,Italia
 Vsd,4.0,Masseria Tenuta Scaglione,Ostuni,Italia
 Carlo A,10.0,Masseria Tenuta Scaglione,Ostuni,Italia
 lisandro196379,10.0,Masseria Tenuta Scaglione,Ostuni,Italia
MimmiNinne,10.0,Residence Ben Ste,Ortisei,Italia
 CristinaPiacenza,8.0,Residence Ben Ste,Ortisei,Italia
 Claudio R,10.0,Residence Ben Ste,Ortisei,Italia
 luframi,2.0,Residence Ben Ste,Ortisei,Italia
 Stefano B,6.0,Residence Ben Ste,Ortisei,Italia
simone,10.0,Agriturismo Le Giare, 58100 Bagno Roselle,Italia
 marope56,8.0,Agriturismo Le Giare, 58100 Bagno Roselle,Italia
 Silvia V,8.0,Agriturismo Le Giare, 58100 Bagno Roselle,Italia
 domfu75,10.0,Agriturismo Le Giare, 58100 Bagno Roselle,Italia
 svurpazz,10.0,Agriturismo Le Giare, 58100 Bagno Roselle,Italia
PaGi,2.0,Villa Playa,Lazise,Italia
 Giulia M,2.0,Villa Playa,Lazise,Italia
 Silvio T,10.0,Villa Playa,Lazise,Italia
 Fabio Carioli,8.0,Villa Playa,Lazise,Italia
 barman75Firenze,6.0,Villa Playa,Lazise,Italia
moltoPina,10.0,La Fornace di Racciano,Gimignano,Italia
 K83,10.0,La Fornace di Racciano,Gimignano,Italia
 Gitro,10.0,La Fornace di Racciano,Gimignano,Italia
 ale10b,8.0,La Fornace di Racciano,Gimignano,Italia
 paola74,10.0,La Fornace di Racciano,Gimignano,Italia
gaetano buscetto,10.0,Hotel Adler Balance,Ortisei,Italia
 Piscus,10.0,Hotel Adler Balance,Ortisei,Italia
 viaggimilano,10.0,Hotel Adler Balance,Ortisei,Italia
 Peter47it,10.0,Hotel Adler Balance,Ortisei,Italia
 Ritina1961,10.0,Hotel Adler Balance,Ortisei,Italia
Carla C,2.0,Hotel Zampillo,Tronto,Italia
 Gianni D,10.0,Hotel Zampillo,Tronto,Italia
 Miriam P,8.0,Hotel Zampillo,Tronto,Italia
 Daniela M,8.0,Hotel Zampillo,Tronto,Italia
 Cesare R,8.0,Hotel Zampillo,Tronto,Italia
Oxys,2.0,Olimpo Club Resort, Santa Teresa Gallura,Italia
Rosa G,10.0,Santa Barbara, Cefalù,Italia
 Caffescala,2.0,Santa Barbara, Cefalù,Italia
 Angiola,4.0,Santa Barbara, Cefalù,Italia
 Leonardo A,10.0,Santa Barbara, Cefalù,Italia
 thebiggestdreamer,10.0,Santa Barbara, Cefalù,Italia
Serena P,10.0,TrentUlivi B&B,Viterbo,Italia
ILoveTravellingCris,6.0,Essenza di Mare,Mare,Italia
 BARBARA N,10.0,Essenza di Mare,Mare,Italia
luciana l,10.0,Villa Bianca, 80075 Forio,Italia
 Simona R,10.0,Villa Bianca, 80075 Forio,Italia
 emanuele g,10.0,Villa Bianca, 80075 Forio,Italia
 englese,10.0,Villa Bianca, 80075 Forio,Italia
 Gildo L,10.0,Villa Bianca, 80075 Forio,Italia
Lup074,10.0,Casa Cresta,Gubbio,Italia
 Davide S,10.0,Casa Cresta,Gubbio,Italia
 Ludovico C,10.0,Casa Cresta,Gubbio,Italia
 Idem37,10.0,Casa Cresta,Gubbio,Italia
 Simmi,10.0,Casa Cresta,Gubbio,Italia
Stefano M,2.0,Residence Cielo Aperto, 38040 Vason,Italia
 Kevin M,2.0,Residence Cielo Aperto, 38040 Vason,Italia
 LULIUS,8.0,Residence Cielo Aperto, 38040 Vason,Italia
 andreaf_1971,8.0,Residence Cielo Aperto, 38040 Vason,Italia
 Serena Z,8.0,Residence Cielo Aperto, 38040 Vason,Italia
Maura1989,10.0,A Casina B&B,Via Mario Pagano 36,Italia
 Vitania C,10.0,A Casina B&B,Via Mario Pagano 36,Italia
 Laura M,10.0,A Casina B&B,Via Mario Pagano 36,Italia
 anto034,10.0,A Casina B&B,Via Mario Pagano 36,Italia
 Rosanna E,10.0,A Casina B&B,Via Mario Pagano 36,Italia
ZioMacella,2.0,Khome Giardini Naxos, 98035 Giardini Naxos,Italia
Luigi c,10.0,L’Irisandro,Castellabate,Italia
Francesco_0211,10.0,Poggio Olivo, 53045 Acquaviva di Montepulciano,Italia
 ROXANAEFAMILY,10.0,Poggio Olivo, 53045 Acquaviva di Montepulciano,Italia
 antoniettagolia,10.0,Poggio Olivo, 53045 Acquaviva di Montepulciano,Italia
 Francesco S,8.0,Poggio Olivo, 53045 Acquaviva di Montepulciano,Italia
 Michelale,8.0,Poggio Olivo, 53045 Acquaviva di Montepulciano,Italia
carotesima,6.0,Tui Sensimar Tropea Baia Di Riaci, 89865 Santa Domenica,Italia
 Sabrina Pfitscher,10.0,Tui Sensimar Tropea Baia Di Riaci, 89865 Santa Domenica,Italia
 lineaquattro,8.0,Tui Sensimar Tropea Baia Di Riaci, 89865 Santa Domenica,Italia
 dreamer1964,8.0,Tui Sensimar Tropea Baia Di Riaci, 89865 Santa Domenica,Italia
 Villa Luciana P,10.0,Tui Sensimar Tropea Baia Di Riaci, 89865 Santa Domenica,Italia
pinuccio10-61,4.0,Albergo Villa Venezia,Caorle,Italia
 Francesca_5_R,6.0,Albergo Villa Venezia,Caorle,Italia
 jiuly2015,6.0,Albergo Villa Venezia,Caorle,Italia
 Letizia C,10.0,Albergo Villa Venezia,Caorle,Italia
 Sorarui G,10.0,Albergo Villa Venezia,Caorle,Italia
Rosanna A,10.0,Il Vulcano,Viale Don,Italia
 Eliana P,6.0,Il Vulcano,Viale Don,Italia
 marco m,4.0,Il Vulcano,Viale Don,Italia
 UtentiGG,10.0,Il Vulcano,Viale Don,Italia
 Luciano M,8.0,Il Vulcano,Viale Don,Italia
silvia p,10.0,Corte del Brenta, 30176 Malcontenta,Italia
 francesca s,2.0,Corte del Brenta, 30176 Malcontenta,Italia
 Dario C,6.0,Corte del Brenta, 30176 Malcontenta,Italia
 _ilaria_98,10.0,Corte del Brenta, 30176 Malcontenta,Italia
 Francesco M,10.0,Corte del Brenta, 30176 Malcontenta,Italia
Karin B,10.0,Villa Belpaese,Pescara,Italia
 Totò L.,10.0,Villa Belpaese,Pescara,Italia
 Annemiek d,10.0,Villa Belpaese,Pescara,Italia
Fabio,2.0,Il Cipresso del Gallo,Terme,Italia
 Richardson,2.0,Il Cipresso del Gallo,Terme,Italia
 Edm,4.0,Il Cipresso del Gallo,Terme,Italia
 Michele,6.0,Il Cipresso del Gallo,Terme,Italia
 magaloutchi,2.0,Il Cipresso del Gallo,Terme,Italia
massimogiacometti,8.0,Agriturismo La Scuderia,Gubbio,Italia
 ale_mal271,10.0,Agriturismo La Scuderia,Gubbio,Italia
 marchino08,6.0,Agriturismo La Scuderia,Gubbio,Italia
 alevale82016,8.0,Agriturismo La Scuderia,Gubbio,Italia
 renatino61 Roma,8.0,Agriturismo La Scuderia,Gubbio,Italia
Marco,10.0,Hotel Mario,Tronto,Italia
 Emily T,10.0,Hotel Mario,Tronto,Italia
 Rosellina R,10.0,Hotel Mario,Tronto,Italia
 simonsalvy,10.0,Hotel Mario,Tronto,Italia
 sanfrancisco1900,10.0,Hotel Mario,Tronto,Italia
Gaetano S,4.0,Fattoria Terrarossa, 53045 Valiano,Italia
 Pathfinder279688,10.0,Fattoria Terrarossa, 53045 Valiano,Italia
 sermauri,8.0,Fattoria Terrarossa, 53045 Valiano,Italia
 aldo1112,10.0,Fattoria Terrarossa, 53045 Valiano,Italia
 umbale,10.0,Fattoria Terrarossa, 53045 Valiano,Italia
883Iacopo,10.0,la carcara,Otranto,Italia
 Andrea D,10.0,la carcara,Otranto,Italia
 chicca065,8.0,la carcara,Otranto,Italia
 Andreozzo,10.0,la carcara,Otranto,Italia
 Giuseppe S,10.0,la carcara,Otranto,Italia
Roberta C,10.0,Hotel Golf,Via Giosue' Carducci 69,Italia
 sumino17,10.0,Hotel Golf,Via Giosue' Carducci 69,Italia
 Roberto G,10.0,Hotel Golf,Via Giosue' Carducci 69,Italia
 Bazzucchi Massimo,8.0,Hotel Golf,Via Giosue' Carducci 69,Italia
 Alessandro84,10.0,Hotel Golf,Via Giosue' Carducci 69,Italia
Carlotta P,10.0,Azienda Agricola Agrimonia,Volterra,Italia
 Alessandra B,8.0,Azienda Agricola Agrimonia,Volterra,Italia
 Gianluigi O,10.0,Azienda Agricola Agrimonia,Volterra,Italia
 Giacomo C,10.0,Azienda Agricola Agrimonia,Volterra,Italia
 Elena C,10.0,Azienda Agricola Agrimonia,Volterra,Italia
niclupo,8.0,Le Rondini,Via G.B. Moroni,Italia
 Luigi_Scarola,8.0,Le Rondini,Via G.B. Moroni,Italia
 Guendalina M,10.0,Le Rondini,Via G.B. Moroni,Italia
 Makka73,8.0,Le Rondini,Via G.B. Moroni,Italia
 FleetTim,10.0,Le Rondini,Via G.B. Moroni,Italia
Jan S,10.0,Palazzo Maranto, Cefalù,Italia
 NellekeReijs,2.0,Palazzo Maranto, Cefalù,Italia
Maria Stella L,10.0,B&B Scrovegni,Padova,Italia
 Isotta & Luigi,10.0,B&B Scrovegni,Padova,Italia
 949bibo,8.0,B&B Scrovegni,Padova,Italia
 Cristina,10.0,B&B Scrovegni,Padova,Italia
 giannettomisco,8.0,B&B Scrovegni,Padova,Italia
enricozolesi,10.0,B&B Villa Giada,Melendugno,Italia
 Simona,10.0,B&B Villa Giada,Melendugno,Italia
 jasmvaleria,10.0,B&B Villa Giada,Melendugno,Italia
 Annamaria C,10.0,B&B Villa Giada,Melendugno,Italia
 Alberta S,10.0,B&B Villa Giada,Melendugno,Italia
Manuela D,10.0,Lucilla's World B&B,Fiumicino,Italia
 Paolo S,10.0,Lucilla's World B&B,Fiumicino,Italia
 Valerio,10.0,Lucilla's World B&B,Fiumicino,Italia
 MartiC787,8.0,Lucilla's World B&B,Fiumicino,Italia
 Alice C,10.0,Lucilla's World B&B,Fiumicino,Italia
Antonio r,10.0,Agriturismo Laire,Alberobello,Italia
 vitina c,10.0,Agriturismo Laire,Alberobello,Italia
 Tabba78,4.0,Agriturismo Laire,Alberobello,Italia
 corona1974,8.0,Agriturismo Laire,Alberobello,Italia
 Leonardo D,10.0,Agriturismo Laire,Alberobello,Italia
Moi D,6.0,Hotel Villa Serena,Mestre,Italia
 Ivan,8.0,Hotel Villa Serena,Mestre,Italia
 Monica,2.0,Hotel Villa Serena,Mestre,Italia
 Enrica,10.0,Hotel Villa Serena,Mestre,Italia
 Mario B,8.0,Hotel Villa Serena,Mestre,Italia
Sofia P,10.0,Montecatini Suites,Terme,Italia
 mcanin510053,4.0,Montecatini Suites,Terme,Italia
 Explore462744,10.0,Montecatini Suites,Terme,Italia
 SIMONE A,10.0,Montecatini Suites,Terme,Italia
 Franco Schiesari,8.0,Montecatini Suites,Terme,Italia
Lena,6.0,Dante Ravenna Apartments,Ravenna,Italia
 Vale,2.0,Dante Ravenna Apartments,Ravenna,Italia
stefano f,8.0,Hotel Alpina,Livigno,Italia
 Francesca G,10.0,Hotel Alpina,Livigno,Italia
 zarakriss,8.0,Hotel Alpina,Livigno,Italia
 Federico M,10.0,Hotel Alpina,Livigno,Italia
 Autogirogiringiro,6.0,Hotel Alpina,Livigno,Italia
Elisa R,8.0,Hotel Patrizia,Senigallia,Italia
 Roam813446,8.0,Hotel Patrizia,Senigallia,Italia
 Tristanum,8.0,Hotel Patrizia,Senigallia,Italia
 Margherita G,10.0,Hotel Patrizia,Senigallia,Italia
 Giorgia,8.0,Hotel Patrizia,Senigallia,Italia
MariaMimmo,10.0,Hotel Week-End,Cesenatico,Italia
 carait,10.0,Hotel Week-End,Cesenatico,Italia
 Giuseppe T,10.0,Hotel Week-End,Cesenatico,Italia
 Mariarosa Mombelli,10.0,Hotel Week-End,Cesenatico,Italia
 Alex Audi,10.0,Hotel Week-End,Cesenatico,Italia
Laura T,8.0,Carducci76 Hotel,Viale Carducci 76,Italia
 anna p,10.0,Carducci76 Hotel,Viale Carducci 76,Italia
 rossella f,10.0,Carducci76 Hotel,Viale Carducci 76,Italia
 Marco P,10.0,Carducci76 Hotel,Viale Carducci 76,Italia
 Silvia C,10.0,Carducci76 Hotel,Viale Carducci 76,Italia
alefabry,10.0,Agriturismo Il Poggiarello,Volterra,Italia
 SaaAndre,10.0,Agriturismo Il Poggiarello,Volterra,Italia
